,Grant agency,papers
0,NIH,1034
1,NHGRI NIH HHS,696
2,NIGMS NIH HHS,6152
3,NCI NIH HHS,3410
4,NHLBI NIH HHS,1596
5,NIAID NIH HHS,2260
6,NIDDK NIH HHS,1616
7,NINDS NIH HHS,1275
8,NIMH NIH HHS,437
9,NCRR NIH HHS,490
10,NICHD NIH HHS,643
11,NIA NIH HHS,1070
12,NIDA NIH HHS,307
13,NEI NIH HHS,377
14,NIAMS NIH HHS,430
15,NIEHS NIH HHS,466
16,NIAAA NIH HHS,148
17,NIDCR NIH HHS,207
18,NIDCD NIH HHS,132
19,NIBIB NIH HHS,191
20,Department of Energy,11
21,National Science Foundation,1567
22,Bill and Melinda Gates,0
23,Department of Defense,22
24,Department of Agriculture,1
25,Food and Drug Administration,2
26,Environmental Protection Agency,4
27,Howard Hughes Medical Institute,676
